ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
AR,39.52,42.99,36.36,54.77,33.21,35.48,0.936,3.177,22.22,1.39,INSUFFICIENT,4697554,5743552,35.8,2026-05-26,0.03,0.02909,2.39,False,False,False,,,,,,Antero Resources Corp,Common Stock,11092128768.0,2026-07-29,63.0
HIG,18.46,43.39,16.5,26.9,15.32,18.95,0.809,1.701,7.14,1.46,INSUFFICIENT,1552371,1562006,135.36,2026-05-26,0.01774,0.01754,2.87,False,False,False,,,,,,Hartford Financial Services Group,Common Stock,37106348032.0,2026-07-30,64.0
NEE,25.01,43.52,18.51,34.88,31.29,26.1,1.199,2.818,58.33,1.39,INSUFFICIENT,10876668,10128744,87.65,2026-05-26,0.03104,0.02404,4.35,False,False,False,,,,,,Nextera Energy Inc,Common Stock,182803316736.0,2026-07-22,56.0
PGR,22.08,43.65,19.45,30.45,16.04,20.79,0.772,2.019,0.0,1.38,INSUFFICIENT,2774669,3153995,198.78,2026-05-26,0.0159,0.01961,3.83,False,False,False,,,,,,Progressive Corp,Common Stock,115988135936.0,2026-07-15,49.0
HAL,30.87,43.92,30.86,55.83,29.68,32.03,0.927,3.045,7.94,1.81,INSUFFICIENT,11635808,14187632,41.08,2026-05-26,0.04397,0.02599,4.94,False,False,False,,,,,,Halliburton Company,Common Stock,34318141440.0,2026-07-21,55.0
TFC,26.11,44.05,19.34,38.81,24.09,23.76,1.014,2.07,0.0,1.49,INSUFFICIENT,7233951,9224136,48.68,2026-05-26,0.02781,0.01939,2.58,False,False,False,,,,,,Truist Financial Corp,Common Stock,60275630080.0,2026-07-17,51.0
DLO,51.82,44.31,41.07,81.45,64.92,52.76,1.23,5.979,89.29,1.57,INSUFFICIENT,2436545,1796031,11.73,2026-05-26,0.06449,0.04822,5.99,False,False,False,,,,,,Dlocal Ltd,Common Stock,3548885760.0,2026-08-12,77.0
JNJ,16.21,44.44,13.1,25.19,17.88,16.67,1.072,1.915,9.13,1.55,INSUFFICIENT,7791913,8349703,230.18,2026-05-26,0.02001,0.01619,3.29,False,False,False,,,,,,Johnson & Johnson,Common Stock,554093182976.0,2026-07-15,49.0
ALHC,59.03,44.44,33.38,59.54,71.01,60.84,1.167,5.428,86.11,1.01,INSUFFICIENT,5418064,3947039,16.03,2026-05-26,0.1157,0.05602,12.14,False,False,False,,,,,,Alignment Healthcare LLC,Common Stock,3380098048.0,2026-07-30,64.0
ES,22.34,44.58,20.1,31.4,23.48,22.49,1.044,2.174,0.4,1.41,INSUFFICIENT,2143033,2509380,69.7,2026-05-26,0.01753,0.01963,5.47,False,False,False,,,,,,Eversource Energy,Common Stock,26368849920.0,2026-07-30,64.0
NI,17.42,44.71,14.98,24.74,15.8,18.05,0.875,1.817,0.0,1.42,INSUFFICIENT,5153708,4411480,47.8,2026-05-26,0.01195,0.01774,3.14,False,False,False,,,,,,NiSource Inc,Common Stock,22917195776.0,2026-08-05,70.0
